trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015-05-31,300467.SZ,44.55,58.81,44.55,58.81,53.46,5.35,10.01,45.0,241.955
2015-06-30,300467.SZ,64.69,297.3,64.69,297.3,270.27,27.03,10.0,8751.689999999999,214089.38679999998
2015-07-31,300467.SZ,267.57,267.57,167.03,218.89,214.0,4.89,2.29,215937.56,4532173.3684
2015-11-30,300467.SZ,60.03,96.67,60.03,96.67,87.88,8.79,10.0,53260.67,469308.7347
2015-12-31,300467.SZ,106.34,126.95,90.5,90.78,100.08,-9.3,-9.29,1384730.85,15148720.2155
2016-01-31,300467.SZ,86.0,89.18,57.0,62.04,57.0,5.04,8.84,647396.1799999999,4807986.9731
2016-02-29,300467.SZ,60.0,78.9,54.54,54.54,60.6,-6.06,-10.0,484024.61,3377108.9244999997
2016-03-31,300467.SZ,53.9,77.8,49.2,73.33,72.71,0.62,0.85,1284557.05,7894344.1758
2016-04-30,300467.SZ,73.17,75.93,55.6,58.0,57.83,0.17,0.29,711298.5,4714442.6732
2016-05-31,300467.SZ,58.2,64.8,51.01,61.36,55.78,5.58,10.0,640448.44,3724458.2921
2016-06-30,300467.SZ,63.2,67.5,54.1,61.88,59.71,2.17,3.63,901517.71,5478302.0647
2016-07-31,300467.SZ,61.7,69.8,58.0,61.99,64.2,-2.21,-3.44,1296624.45,8220108.1534
2016-08-31,300467.SZ,61.0,61.2,54.81,57.24,57.72,-0.48,-0.83,546043.21,3161671.744
2016-09-30,300467.SZ,57.19,57.53,49.7,50.6,50.45,0.15,0.3,267905.24,1448310.0392
2016-10-31,300467.SZ,51.01,53.0,50.4,51.16,51.07,0.09,0.18,279001.13,1436094.9655
2016-11-30,300467.SZ,51.17,55.87,50.67,52.33,52.15,0.18,0.35,491682.27999999997,2587174.321
2016-12-31,300467.SZ,52.05,52.6,39.15,43.8,42.76,1.04,2.43,289243.53,1308444.452
2017-01-31,300467.SZ,43.76,47.55,43.08,46.6,43.25,3.35,7.75,88708.34,397581.727
2017-06-30,300467.SZ,46.57,48.49,40.0,41.33,43.42,-2.09,-4.81,314023.94,1376326.998
2017-07-31,300467.SZ,41.2,43.86,31.09,33.5,34.02,-0.52,-1.53,784374.49,2840509.0979999998
2017-08-31,300467.SZ,33.52,41.8,32.33,39.78,39.39,0.39,0.99,846302.4099999999,3111542.426
2017-09-30,300467.SZ,40.8,49.3,40.0,47.87,45.7,2.17,4.75,589253.74,2595673.713
