trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015-06-30,300467.SZ,44.55,297.3,44.55,297.3,270.27,27.03,10.0,8796.689999999999,214331.3418
2015-09-30,300467.SZ,267.57,267.57,167.03,218.89,214.0,4.89,2.29,215937.56,4532173.3684
2015-12-31,300467.SZ,60.03,126.95,60.03,90.78,100.08,-9.3,-9.29,1437991.52,15618028.9502
2016-03-31,300467.SZ,86.0,89.18,49.2,73.33,72.71,0.62,0.85,2415977.84,16079440.0734
2016-06-30,300467.SZ,73.17,75.93,51.01,61.88,59.71,2.17,3.63,2253264.65,13917203.03
2016-09-30,300467.SZ,61.7,69.8,49.7,50.6,50.45,0.15,0.3,2110572.9,12830089.9366
2016-12-31,300467.SZ,51.01,55.87,39.15,43.8,42.76,1.04,2.43,1059926.94,5331713.7385
2017-03-31,300467.SZ,43.76,47.55,43.08,46.6,43.25,3.35,7.75,88708.34,397581.727
2017-06-30,300467.SZ,46.57,48.49,40.0,41.33,43.42,-2.09,-4.81,314023.94,1376326.998
2017-09-30,300467.SZ,41.2,49.3,31.09,47.87,45.7,2.17,4.75,2219930.64,8547725.237
2017-12-31,300467.SZ,47.0,59.0,43.58,46.95,48.47,-1.52,-3.14,1378129.92,6911010.51
2018-03-31,300467.SZ,47.44,48.1,31.29,41.79,39.11,2.68,6.85,964886.6699999999,3991802.077
2018-06-30,300467.SZ,41.77,45.27,30.06,32.1,30.66,1.44,4.7,870789.46,3340229.305
2018-09-30,300467.SZ,32.1,36.49,22.82,24.4,22.9,1.5,6.5502,1808455.83,5249156.426
2018-12-31,300467.SZ,23.98,28.8,20.01,22.93,23.1,-0.17,-0.7359,1901178.18,4754115.677
2019-03-31,300467.SZ,22.93,34.9,18.88,27.7,26.8,0.9,3.3582,3418980.12,8840745.31
2019-06-30,300467.SZ,27.7,30.88,16.15,18.42,18.8,-0.38,-2.0213,3369659.52,7551890.818
2019-09-30,300467.SZ,18.75,19.27,14.8,15.87,15.85,0.02,0.1262,3475346.33,5857971.476
2019-12-31,300467.SZ,15.64,24.92,14.84,19.3,19.44,-0.14,-0.7202,4645359.86,8594788.303
2020-03-31,300467.SZ,19.3,22.86,15.81,16.6,16.61,-0.01,-0.0602,6233763.64,12089326.389
2020-06-30,300467.SZ,16.54,18.5,13.55,17.42,17.0,0.42,2.4706,2661389.63,4269552.823
2020-09-30,300467.SZ,17.21,23.54,15.47,17.13,17.41,-0.28,-1.6083,4956122.34,9202318.048
2020-12-31,300467.SZ,17.41,20.94,13.21,13.79,13.51,0.28,2.0725,2948215.72,5263722.867
2021-03-31,300467.SZ,13.79,14.5,11.15,11.68,11.56,0.12,1.0381,2283905.7600000002,2877826.801
2021-06-30,300467.SZ,11.65,15.8,11.32,14.16,13.98,0.18,1.2876,2435553.26,3251921.39
2021-09-30,300467.SZ,14.15,19.96,12.43,13.8,13.92,-0.12,-0.8621,4858117.94,7499688.94
2021-12-31,300467.SZ,13.92,18.71,11.91,16.64,17.32,-0.68,-3.9261,4147254.65,6325281.457
2022-03-31,300467.SZ,16.56,21.58,13.71,17.07,16.46,0.61,3.706,8548320.41,14245368.782
2022-06-30,300467.SZ,16.9,17.53,9.97,11.69,11.66,0.03,0.2573,3473488.86,4465178.36
2022-09-30,300467.SZ,11.67,13.0,9.9,10.0,9.99,0.01,0.1001,3083651.8,3574913.645
2022-12-31,300467.SZ,10.05,12.61,9.57,11.91,11.69,0.22,1.882,2472454.59,2796319.633
2023-03-31,300467.SZ,11.99,15.17,11.73,14.44,13.98,0.46,3.2904,3370875.62,4613168.603
2023-06-30,300467.SZ,14.4,21.63,13.17,20.43,21.44,-1.01,-4.7108,12371458.94,21705976.02
2023-09-30,300467.SZ,20.66,21.46,13.48,14.44,14.22,0.22,1.5471,6834613.2,11537351.233000001
2023-12-31,300467.SZ,14.41,19.99,13.0,17.38,16.29,1.09,6.6912,5540247.66,9121044.985
2024-03-31,300467.SZ,17.56,17.99,9.09,13.58,13.53,0.05,0.3695,4258625.56,5809442.495
2024-06-30,300467.SZ,13.57,18.31,11.99,13.7,14.02,-0.32,-2.2825,4427370.01,6426682.814
2024-09-30,300467.SZ,13.41,16.32,11.7,15.98,14.19,1.79,12.6145,2896490.35,3852771.131
2024-12-31,300467.SZ,18.8,19.19,14.54,17.96,17.25,0.71,4.1159,4811254.98,8176748.241
