trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015-06-01,300467.SZ,44.55,64.69,44.55,64.69,58.81,5.88,10.0,50.0,274.3
2015-06-08,300467.SZ,71.16,104.19,71.16,104.19,94.72,9.47,10.0,57.0,528.896
2015-06-15,300467.SZ,114.61,167.81,114.61,167.81,152.55,15.26,10.0,182.0,2700.871
2015-06-22,300467.SZ,184.59,245.7,184.59,245.7,223.36,22.34,10.0,6505.389999999999,155417.7272
2015-06-29,300467.SZ,270.27,297.3,270.27,297.3,270.27,27.03,10.0,2002.3,55409.5476
2015-07-06,300467.SZ,267.57,267.57,216.73,217.43,240.81,-23.38,-9.71,68760.61,1522096.3872
2015-07-13,300467.SZ,206.0,234.41,167.03,234.41,213.1,21.31,10.0,74864.28,1469042.0358000002
2015-07-20,300467.SZ,233.97,247.0,172.0,214.0,223.03,-9.03,-4.05,64446.2,1372011.267
2015-07-27,300467.SZ,208.0,225.27,201.21,218.89,214.0,4.89,2.29,7866.47,169023.6784
2015-11-23,300467.SZ,60.03,60.03,60.03,60.03,54.57,5.46,10.01,1497.0,8986.491
2015-11-30,300467.SZ,66.03,96.67,66.03,96.67,87.88,8.79,10.0,51763.67,460322.2437
2015-12-07,300467.SZ,106.34,126.95,105.27,111.0,120.0,-9.0,-7.5,541995.55,6256754.8003
2015-12-14,300467.SZ,116.0,122.1,94.8,99.35,99.68,-0.33,-0.33,325609.0,3600475.7405
2015-12-21,300467.SZ,100.31,114.0,97.29,101.5,105.0,-3.5,-3.33,255469.87000000002,2668445.8141
2015-12-28,300467.SZ,101.0,110.0,95.1,97.36,98.97,-1.61,-1.63,182019.93,1843912.6734
2016-01-04,300467.SZ,98.3,101.8,81.7,81.7,90.78,-9.08,-10.0,117241.78,1089602.0606
2016-01-11,300467.SZ,75.1,89.18,73.88,76.86,85.4,-8.54,-10.0,159543.76,1311039.9764
2016-01-18,300467.SZ,76.99,79.25,64.64,69.5,67.0,2.5,3.73,152030.72,1079933.2168
2016-01-25,300467.SZ,68.5,83.28,68.02,74.08,76.0,-1.92,-2.53,171900.07,1318703.2678
2016-02-01,300467.SZ,72.45,73.3,57.0,59.0,62.04,-3.04,-4.9,153456.44999999998,951841.975
2016-02-08,300467.SZ,58.38,74.5,58.38,74.0,70.42,3.58,5.08,131112.88,893977.0752
2016-02-15,300467.SZ,69.88,77.77,69.7,75.0,74.0,1.0,1.35,27371.73,202882.0415
2016-02-22,300467.SZ,75.5,78.9,73.1,74.95,75.1,-0.15,-0.2,145686.24,1103407.0001
2016-02-29,300467.SZ,75.0,77.0,54.54,54.54,60.6,-6.06,-10.0,152713.66,1012840.4714
2016-03-07,300467.SZ,53.9,62.0,50.4,54.51,52.04,2.47,4.75,276719.26,1545669.2898
2016-03-14,300467.SZ,53.32,57.02,49.2,55.81,51.84,3.97,7.66,234404.90999999997,1256701.6756000002
2016-03-21,300467.SZ,55.13,70.98,53.58,69.5,64.8,4.7,7.25,330191.86,2003604.8433
2016-03-28,300467.SZ,67.5,74.5,65.0,65.16,68.05,-2.89,-4.25,246977.73,1695897.6623
2016-04-04,300467.SZ,65.3,77.8,64.15,71.0,73.33,-2.33,-3.18,246892.04,1748050.0677
2016-04-11,300467.SZ,70.0,75.93,65.55,68.92,66.88,2.04,3.05,247126.79,1744131.9561
