trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015-12-31,300467.SZ,44.55,297.3,44.55,90.78,100.08,-9.3,-9.29,1662725.77,20364533.6604
2016-12-31,300467.SZ,86.0,89.18,39.15,43.8,42.76,1.04,2.43,7839742.33,48158446.7785
2017-12-31,300467.SZ,43.76,59.0,31.09,46.95,48.47,-1.52,-3.14,4000792.84,17232644.472
2018-12-31,300467.SZ,47.44,48.1,20.01,22.93,23.1,-0.17,-0.7359,5545310.14,17335303.485
2019-12-31,300467.SZ,22.93,34.9,14.8,19.3,19.44,-0.14,-0.7202,14909345.83,30845395.907
2020-12-31,300467.SZ,19.3,23.54,13.21,13.79,13.51,0.28,2.0725,16799491.33,30824920.127
2021-12-31,300467.SZ,13.79,19.96,11.15,16.64,17.32,-0.68,-3.9261,13724831.61,19954718.588
2022-12-31,300467.SZ,16.56,21.58,9.57,11.91,11.69,0.22,1.882,17577915.66,25081780.42
2023-12-31,300467.SZ,11.99,21.63,11.73,17.38,16.29,1.09,6.6912,28117195.419999998,46977540.841
2024-12-31,300467.SZ,17.56,19.19,9.09,17.96,17.25,0.71,4.1159,16393740.9,24265644.681
